,Unnamed: 0.1,Unnamed: 0,gender,age,driving_license,region_code,previously_insured,vehicle_age,vehicle_damage,annual_premium,policy_sales_channel,vintage,Propensity_to_buy,Status
23,23,33,Male,27,1,28.0,0,< 1 Year,Yes,35838.0,152.0,156,12.0,Pendente
24,24,61,Female,61,1,28.0,0,1-2 Year,Yes,51145.0,26.0,195,11.83,Pendente
25,25,52,Male,32,1,15.0,0,< 1 Year,Yes,38753.0,152.0,257,11.66,Pendente
26,26,54,Male,34,1,3.0,0,> 2 Years,Yes,19826.0,124.0,165,11.29,Pendente
27,27,10,Female,78,1,28.0,0,1-2 Year,Yes,31471.0,122.0,231,11.22,Pendente
28,28,16,Female,23,1,12.0,0,< 1 Year,No,20594.0,152.0,168,11.14,Pendente
29,29,51,Female,65,1,28.0,0,> 2 Years,Yes,51192.0,13.0,179,10.71,Pendente
30,30,25,Female,46,1,28.0,0,1-2 Year,Yes,49022.0,26.0,144,10.17,Pendente
31,31,6,Male,66,1,28.0,0,> 2 Years,Yes,39743.0,26.0,222,10.11,Pendente
32,32,0,Male,49,1,41.0,0,> 2 Years,Yes,43751.0,26.0,235,10.0,Pendente
33,33,7,Female,42,1,28.0,0,1-2 Year,Yes,47420.0,26.0,104,9.87,Pendente
34,34,34,Female,41,1,43.0,0,1-2 Year,Yes,2630.0,26.0,150,9.83,Pendente
35,35,39,Male,66,1,28.0,0,> 2 Years,Yes,34119.0,26.0,212,9.81,Pendente
36,36,11,Female,42,1,28.0,0,1-2 Year,Yes,38793.0,26.0,236,8.99,Pendente
37,37,8,Female,46,1,8.0,0,1-2 Year,Yes,23210.0,26.0,163,8.42,Pendente
38,38,18,Female,50,1,46.0,0,1-2 Year,Yes,26275.0,26.0,161,8.33,Pendente
39,39,30,Male,46,1,28.0,0,1-2 Year,Yes,28718.0,26.0,154,8.07,Pendente
40,40,49,Male,46,1,28.0,0,1-2 Year,Yes,49841.0,26.0,57,7.92,Pendente
41,41,40,Male,50,1,28.0,0,1-2 Year,Yes,38675.0,26.0,226,7.42,Pendente
42,42,9,Female,48,1,28.0,0,1-2 Year,Yes,43292.0,124.0,56,7.34,Pendente
43,43,14,Male,65,1,28.0,0,> 2 Years,Yes,2630.0,156.0,230,7.23,Pendente
44,44,27,Male,47,1,28.0,0,1-2 Year,Yes,34303.0,26.0,104,6.91,Pendente
45,45,63,Male,51,1,11.0,0,1-2 Year,Yes,23449.0,26.0,128,6.67,Pendente
46,46,13,Male,47,1,29.0,0,< 1 Year,Yes,2630.0,124.0,69,6.67,Pendente
47,47,3,Male,42,1,20.0,0,1-2 Year,Yes,2630.0,124.0,98,6.67,Pendente
48,48,42,Male,21,1,47.0,0,< 1 Year,No,37118.0,160.0,178,6.62,Pendente
49,49,22,Female,51,1,31.0,0,1-2 Year,Yes,2630.0,26.0,239,6.11,Pendente
50,50,41,Male,51,1,46.0,0,> 2 Years,Yes,29492.0,124.0,209,5.91,Pendente
51,51,35,Male,51,1,7.0,0,1-2 Year,Yes,2630.0,26.0,221,5.83,Pendente
52,52,21,Female,54,1,46.0,0,1-2 Year,Yes,28738.0,156.0,208,5.57,Pendente
53,53,47,Female,52,1,37.0,0,1-2 Year,Yes,33260.0,150.0,218,5.42,Pendente
54,54,44,Female,59,1,28.0,0,1-2 Year,Yes,33524.0,150.0,227,5.16,Pendente
55,55,36,Male,56,1,46.0,0,> 2 Years,Yes,27924.0,124.0,229,5.11,Pendente
56,56,37,Male,50,1,28.0,0,1-2 Year,Yes,37749.0,124.0,255,5.01,Pendente
57,57,38,Female,67,1,28.0,0,> 2 Years,Yes,32380.0,158.0,289,4.17,Pendente
58,58,58,Female,36,1,28.0,0,1-2 Year,Yes,33395.0,154.0,280,3.94,Pendente
59,59,23,Male,30,1,28.0,0,1-2 Year,Yes,2630.0,157.0,284,3.37,Pendente
60,60,50,Male,52,1,28.0,0,1-2 Year,Yes,40569.0,124.0,278,2.84,Pendente
61,61,15,Female,50,1,46.0,0,1-2 Year,Yes,23202.0,124.0,289,2.83,Pendente
62,62,46,Female,62,1,41.0,0,> 2 Years,Yes,57466.0,25.0,275,2.6,Pendente
63,63,2,Male,58,0,29.0,0,> 2 Years,Yes,26064.0,124.0,270,2.18,Pendente
64,64,24,Male,62,1,41.0,0,1-2 Year,Yes,31277.0,26.0,297,1.7,Pendente
