id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Propensity
46156,Female,31,1,29.0,0,1-2 Year,Yes,23309.0,124.0,63,0.5048163
268485,Male,32,1,28.0,0,1-2 Year,Yes,24179.0,163.0,213,0.5038188
330687,Female,35,1,11.0,0,1-2 Year,Yes,29402.0,26.0,211,0.5035751
85623,Male,31,1,3.0,0,< 1 Year,Yes,29582.0,163.0,157,0.50320363
188893,Female,32,1,29.0,0,1-2 Year,Yes,27893.0,124.0,12,0.50268847
96771,Male,30,1,35.0,0,< 1 Year,Yes,20672.0,26.0,53,0.5021395
179666,Male,31,1,11.0,0,1-2 Year,Yes,24470.0,26.0,14,0.5020928
332256,Male,29,1,35.0,0,< 1 Year,Yes,20437.0,124.0,32,0.5020489
8851,Male,32,1,11.0,0,< 1 Year,Yes,28906.0,124.0,122,0.50191635
210641,Male,31,1,11.0,0,1-2 Year,Yes,28994.0,124.0,125,0.50191635
127239,Female,32,1,29.0,0,< 1 Year,Yes,29424.0,124.0,15,0.50175303
364152,Female,33,1,41.0,0,< 1 Year,Yes,22102.0,26.0,37,0.50046647
95645,Male,35,1,45.0,0,1-2 Year,Yes,24828.0,163.0,279,0.5000357
113506,Male,39,1,30.0,0,1-2 Year,Yes,22982.0,155.0,192,0.49967185
37523,Female,28,1,3.0,0,1-2 Year,Yes,20150.0,124.0,291,0.4994745
264148,Male,31,1,11.0,0,< 1 Year,Yes,28853.0,156.0,224,0.4991545
316697,Male,32,1,18.0,0,1-2 Year,Yes,23388.0,124.0,121,0.49854317
304599,Female,34,1,3.0,0,1-2 Year,Yes,31026.0,155.0,60,0.49852496
367633,Female,32,1,28.0,0,1-2 Year,Yes,22007.0,124.0,208,0.49850887
132654,Male,32,1,4.0,0,1-2 Year,Yes,26441.0,163.0,125,0.49845544
195681,Male,30,1,6.0,0,1-2 Year,Yes,28557.0,124.0,29,0.49748865
359711,Male,32,1,11.0,0,1-2 Year,Yes,36485.0,157.0,119,0.49731466
134014,Male,34,1,11.0,0,1-2 Year,Yes,39792.0,124.0,221,0.49665076
265807,Male,31,1,29.0,0,1-2 Year,Yes,27702.0,124.0,37,0.49590307
122187,Male,35,1,41.0,0,1-2 Year,Yes,21944.0,163.0,76,0.4958064
379819,Male,30,1,35.0,0,1-2 Year,Yes,26117.0,26.0,14,0.49580055
80650,Female,33,1,29.0,0,1-2 Year,Yes,28018.0,26.0,80,0.4953196
195498,Male,33,1,29.0,0,< 1 Year,Yes,30539.0,26.0,78,0.49302202
230727,Female,31,1,29.0,0,1-2 Year,Yes,27141.0,124.0,50,0.49289212
207208,Female,31,1,11.0,0,1-2 Year,Yes,26619.0,26.0,25,0.49274284
230999,Male,32,1,6.0,0,< 1 Year,Yes,26324.0,154.0,270,0.49236327
184730,Female,31,1,11.0,0,< 1 Year,Yes,26199.0,150.0,148,0.49197924
297689,Male,34,1,2.0,0,1-2 Year,Yes,28429.0,155.0,134,0.4918755
151382,Female,35,1,28.0,0,1-2 Year,Yes,27392.0,163.0,203,0.4918132
332013,Male,33,1,3.0,0,1-2 Year,Yes,23775.0,124.0,255,0.49137536
102602,Male,33,1,41.0,0,< 1 Year,Yes,23861.0,124.0,270,0.49137536
80495,Female,33,1,41.0,0,< 1 Year,Yes,24425.0,124.0,224,0.49137536
174235,Male,31,1,41.0,0,1-2 Year,Yes,24040.0,124.0,245,0.49137536
129930,Male,32,1,35.0,0,< 1 Year,Yes,29340.0,124.0,16,0.49129072
30074,Male,33,1,41.0,0,< 1 Year,Yes,27518.0,26.0,18,0.49111697
284392,Female,33,1,35.0,0,1-2 Year,Yes,21274.0,124.0,72,0.4911057
100486,Female,31,1,28.0,0,< 1 Year,Yes,35493.0,155.0,160,0.4910143
345330,Female,31,1,18.0,0,1-2 Year,Yes,20176.0,26.0,149,0.49070695
97907,Male,33,1,41.0,0,< 1 Year,Yes,30554.0,163.0,96,0.49065128
145240,Female,30,1,3.0,0,< 1 Year,Yes,20866.0,26.0,180,0.49063075
192792,Male,30,1,3.0,0,< 1 Year,Yes,22133.0,26.0,226,0.49063075
46763,Male,31,1,29.0,0,1-2 Year,Yes,44178.0,163.0,213,0.4903192
299344,Male,32,1,29.0,0,1-2 Year,Yes,29901.0,124.0,90,0.49029383
157058,Male,32,1,6.0,0,< 1 Year,Yes,27247.0,122.0,223,0.4900671
207339,Male,30,1,11.0,0,1-2 Year,Yes,26746.0,124.0,130,0.48992977
28019,Female,31,1,46.0,0,< 1 Year,Yes,18870.0,26.0,210,0.48992172
55915,Male,33,1,29.0,0,1-2 Year,Yes,26761.0,124.0,139,0.48991433
323520,Male,33,1,29.0,0,> 2 Years,Yes,30427.0,124.0,271,0.48991433
284088,Male,33,1,29.0,0,1-2 Year,Yes,28381.0,124.0,141,0.48991433
217446,Male,33,1,29.0,0,1-2 Year,Yes,27701.0,124.0,278,0.48991433
66666,Male,29,1,30.0,0,1-2 Year,Yes,26700.0,26.0,299,0.4898542
53162,Male,38,1,35.0,0,1-2 Year,Yes,30011.0,163.0,296,0.48942104
61236,Male,28,1,35.0,0,1-2 Year,Yes,26275.0,157.0,254,0.48921672
63592,Female,32,1,35.0,0,< 1 Year,Yes,24935.0,124.0,100,0.48895758
45341,Male,34,1,3.0,0,> 2 Years,Yes,19826.0,124.0,165,0.48881665
105855,Male,34,1,35.0,0,1-2 Year,Yes,23795.0,124.0,164,0.48881665
13822,Male,34,1,41.0,0,1-2 Year,Yes,22256.0,124.0,143,0.48881665
196569,Female,34,1,3.0,0,1-2 Year,Yes,24775.0,124.0,218,0.48881665
229587,Female,33,1,11.0,0,1-2 Year,Yes,23658.0,154.0,192,0.4879744
58870,Male,37,1,29.0,0,1-2 Year,Yes,23483.0,155.0,162,0.4879096
373233,Female,29,1,3.0,0,< 1 Year,Yes,24163.0,124.0,206,0.4875303
322773,Female,29,1,41.0,0,< 1 Year,Yes,24908.0,124.0,156,0.4875303
6199,Male,30,1,35.0,0,1-2 Year,Yes,24063.0,124.0,253,0.4875303
342336,Male,34,1,29.0,0,1-2 Year,Yes,30385.0,124.0,174,0.48735592
85342,Male,34,1,29.0,0,1-2 Year,Yes,29977.0,124.0,222,0.48735592
72956,Female,34,1,29.0,0,1-2 Year,Yes,24993.0,124.0,246,0.48735592
300481,Female,31,1,29.0,0,1-2 Year,Yes,2630.0,163.0,44,0.48735288
266507,Female,33,1,28.0,0,< 1 Year,Yes,25167.0,26.0,127,0.4873425
326018,Male,33,1,28.0,0,< 1 Year,Yes,27678.0,26.0,125,0.4873425
74285,Male,33,1,28.0,0,1-2 Year,Yes,28985.0,26.0,122,0.4873425
273731,Male,29,1,28.0,0,< 1 Year,Yes,26189.0,157.0,196,0.48691684
311628,Male,32,1,11.0,0,1-2 Year,Yes,29262.0,124.0,69,0.4866595
205063,Male,30,1,29.0,0,1-2 Year,Yes,29735.0,124.0,227,0.4860698
67856,Female,37,1,50.0,0,1-2 Year,Yes,2630.0,163.0,198,0.48600626
100507,Female,36,1,28.0,0,1-2 Year,Yes,27123.0,163.0,279,0.4858072
221106,Female,34,1,41.0,0,1-2 Year,Yes,19418.0,12.0,68,0.48551783
275906,Male,33,1,28.0,0,1-2 Year,Yes,41453.0,163.0,196,0.4852691
61729,Male,37,1,14.0,0,1-2 Year,Yes,45249.0,163.0,286,0.4852171
77191,Male,33,1,41.0,0,1-2 Year,Yes,26434.0,26.0,148,0.48513046
367738,Male,31,1,41.0,0,< 1 Year,Yes,29605.0,26.0,203,0.48513046
161158,Female,33,1,35.0,0,1-2 Year,Yes,26635.0,26.0,148,0.48513046
273840,Female,35,1,28.0,0,1-2 Year,Yes,30567.0,163.0,193,0.48486048
159024,Male,34,1,24.0,0,1-2 Year,Yes,25535.0,163.0,202,0.48396155
353914,Female,34,1,3.0,0,1-2 Year,Yes,28598.0,26.0,13,0.48368472
185294,Female,32,1,28.0,0,< 1 Year,Yes,20562.0,26.0,147,0.48337835
376339,Male,30,1,6.0,0,1-2 Year,Yes,27221.0,154.0,111,0.48326096
6800,Male,30,1,11.0,0,< 1 Year,Yes,26931.0,154.0,213,0.48319536
166584,Male,48,1,15.0,0,1-2 Year,Yes,45667.0,155.0,159,0.48302442
64916,Female,33,1,3.0,0,1-2 Year,Yes,26574.0,26.0,107,0.48271418
118859,Female,34,1,3.0,0,1-2 Year,Yes,27124.0,26.0,244,0.4825734
282862,Male,34,1,35.0,0,1-2 Year,Yes,25921.0,26.0,246,0.4825734
298320,Female,32,1,41.0,0,< 1 Year,Yes,28953.0,124.0,47,0.4824356
191362,Male,30,1,41.0,0,1-2 Year,Yes,22791.0,157.0,78,0.4823097
309891,Male,33,1,3.0,0,< 1 Year,Yes,25282.0,124.0,98,0.48213488
190414,Female,34,1,11.0,0,1-2 Year,Yes,37280.0,124.0,261,0.482109
59135,Male,60,1,50.0,0,1-2 Year,Yes,35395.0,163.0,20,0.48200575
64083,Male,33,1,19.0,0,1-2 Year,Yes,23129.0,26.0,12,0.4818479
13278,Female,32,1,28.0,0,< 1 Year,Yes,24637.0,26.0,16,0.4818479
174176,Female,33,1,28.0,0,< 1 Year,Yes,26481.0,26.0,84,0.48129037
201212,Male,30,1,3.0,0,1-2 Year,Yes,21691.0,154.0,290,0.48120472
164913,Male,36,1,29.0,0,1-2 Year,Yes,29824.0,163.0,119,0.48077276
267564,Female,30,1,45.0,0,1-2 Year,Yes,19762.0,26.0,38,0.4805508
101850,Male,29,1,11.0,0,< 1 Year,Yes,35573.0,26.0,80,0.48050317
214777,Male,31,1,11.0,0,1-2 Year,Yes,37552.0,124.0,184,0.48020798
361264,Female,32,1,3.0,0,< 1 Year,Yes,30505.0,124.0,61,0.48014095
155761,Female,34,1,30.0,0,1-2 Year,Yes,33696.0,155.0,35,0.4800505
243714,Male,32,1,3.0,0,1-2 Year,Yes,30359.0,124.0,231,0.47946125
175177,Male,33,1,3.0,0,1-2 Year,Yes,29650.0,124.0,254,0.47946125
318058,Male,31,1,41.0,0,1-2 Year,Yes,29155.0,124.0,223,0.47946125
368793,Male,33,1,35.0,0,1-2 Year,Yes,28765.0,124.0,161,0.47946125
199687,Female,32,1,35.0,0,1-2 Year,Yes,27184.0,124.0,269,0.47946125
229909,Female,33,1,41.0,0,< 1 Year,Yes,25987.0,124.0,227,0.47946125
279645,Female,31,1,41.0,0,< 1 Year,Yes,28487.0,124.0,196,0.47946125
13118,Female,31,1,35.0,0,1-2 Year,Yes,27327.0,124.0,296,0.47946125
257112,Male,33,1,3.0,0,1-2 Year,Yes,25600.0,124.0,241,0.47946125
223004,Female,28,1,11.0,0,1-2 Year,Yes,29113.0,156.0,230,0.47929722
58971,Male,31,1,3.0,0,< 1 Year,Yes,28131.0,124.0,77,0.47919196
322464,Male,29,1,3.0,0,1-2 Year,Yes,32938.0,156.0,208,0.47855207
59788,Male,43,1,29.0,0,1-2 Year,Yes,30672.0,163.0,283,0.4784581
258050,Male,36,1,26.0,0,1-2 Year,Yes,35906.0,155.0,50,0.4783787
362906,Male,32,1,11.0,0,1-2 Year,Yes,32572.0,124.0,56,0.47807947
336997,Male,30,1,28.0,0,1-2 Year,Yes,23904.0,124.0,58,0.4780464
231519,Female,34,1,41.0,0,1-2 Year,Yes,25538.0,124.0,25,0.47801682
190205,Male,32,1,8.0,0,1-2 Year,Yes,18913.0,124.0,84,0.47798204
169005,Male,31,1,11.0,0,< 1 Year,Yes,34290.0,124.0,106,0.47777897
189883,Male,29,1,28.0,0,1-2 Year,Yes,24328.0,124.0,97,0.4777459
201598,Female,29,1,23.0,0,1-2 Year,Yes,27439.0,155.0,151,0.4774447
114393,Male,48,1,46.0,0,1-2 Year,Yes,31050.0,155.0,297,0.4772777
373829,Male,29,1,33.0,0,< 1 Year,Yes,21077.0,163.0,141,0.4771437
314418,Male,32,1,11.0,0,< 1 Year,Yes,40465.0,124.0,167,0.4771274
135595,Male,32,1,41.0,0,1-2 Year,Yes,26536.0,124.0,107,0.4770471
240524,Male,34,1,35.0,0,1-2 Year,Yes,30173.0,124.0,229,0.47690645
83739,Female,34,1,41.0,0,1-2 Year,Yes,30267.0,124.0,274,0.47690645
269753,Female,34,1,3.0,0,1-2 Year,Yes,25842.0,124.0,277,0.47690645
69327,Male,34,1,41.0,0,1-2 Year,Yes,26216.0,124.0,275,0.47690645
279166,Male,33,1,6.0,0,1-2 Year,Yes,18525.0,154.0,150,0.47687224
77432,Male,31,1,30.0,0,1-2 Year,Yes,21829.0,124.0,152,0.47682354
195835,Female,32,1,28.0,0,1-2 Year,Yes,2630.0,26.0,45,0.47653103
4899,Female,30,1,18.0,0,1-2 Year,Yes,27724.0,124.0,32,0.47646984
141611,Male,31,1,23.0,0,1-2 Year,Yes,22918.0,124.0,38,0.47637683
41968,Female,31,1,23.0,0,< 1 Year,Yes,24201.0,124.0,21,0.47637683
262370,Female,33,1,41.0,0,< 1 Year,Yes,28576.0,154.0,125,0.47619894
129619,Female,35,1,28.0,0,1-2 Year,Yes,37446.0,155.0,18,0.4761943
148066,Male,35,1,29.0,0,1-2 Year,Yes,24066.0,124.0,162,0.47605506
103256,Male,29,1,28.0,0,< 1 Year,Yes,28268.0,124.0,11,0.47592294
133392,Male,32,1,46.0,0,< 1 Year,Yes,22636.0,124.0,190,0.47590533
129474,Male,33,1,46.0,0,1-2 Year,Yes,22219.0,124.0,127,0.47590533
244632,Female,34,1,35.0,0,1-2 Year,Yes,29796.0,124.0,33,0.47572386
362708,Male,30,1,41.0,0,< 1 Year,Yes,29161.0,124.0,176,0.4756222
92892,Male,30,1,3.0,0,1-2 Year,Yes,25057.0,124.0,210,0.4756222
203533,Male,30,1,3.0,0,1-2 Year,Yes,25770.0,124.0,172,0.4756222
208330,Female,30,1,41.0,0,1-2 Year,Yes,28648.0,124.0,264,0.4756222
160645,Male,45,1,46.0,0,1-2 Year,Yes,26841.0,163.0,295,0.4753413
146655,Male,40,1,11.0,0,1-2 Year,Yes,25996.0,157.0,206,0.4748211
103533,Male,34,1,41.0,0,1-2 Year,Yes,28062.0,124.0,97,0.47471178
74991,Female,29,1,28.0,0,< 1 Year,Yes,23851.0,124.0,131,0.4744998
23711,Female,36,1,28.0,0,1-2 Year,Yes,29150.0,155.0,294,0.474488
211951,Female,34,1,28.0,0,1-2 Year,Yes,24362.0,26.0,25,0.4744252
291825,Male,30,1,18.0,0,1-2 Year,Yes,21695.0,124.0,204,0.47387987
112312,Female,32,1,18.0,0,< 1 Year,Yes,27092.0,26.0,146,0.473857
301620,Male,34,1,44.0,0,1-2 Year,Yes,27607.0,163.0,281,0.47358403
241014,Female,31,1,45.0,0,1-2 Year,Yes,27569.0,163.0,144,0.4734998
372260,Male,29,1,29.0,0,< 1 Year,Yes,2630.0,163.0,272,0.47349736
146364,Female,35,1,43.0,0,1-2 Year,Yes,28184.0,155.0,82,0.47332647
116692,Male,31,1,28.0,0,1-2 Year,Yes,24008.0,163.0,27,0.47330832
199236,Female,33,1,38.0,0,< 1 Year,Yes,23229.0,163.0,17,0.47330832
159333,Female,39,1,4.0,0,1-2 Year,Yes,2630.0,155.0,196,0.4732977
83502,Male,34,1,7.0,0,1-2 Year,Yes,2630.0,155.0,275,0.4732832
166852,Female,32,1,28.0,0,1-2 Year,Yes,21466.0,124.0,98,0.4730729
90585,Male,34,1,18.0,0,1-2 Year,Yes,29924.0,157.0,273,0.47303918
301730,Female,34,1,28.0,0,1-2 Year,Yes,39332.0,36.0,13,0.47275633
18325,Female,34,1,3.0,0,1-2 Year,Yes,29832.0,124.0,59,0.47272047
284764,Female,33,1,46.0,0,1-2 Year,Yes,20251.0,157.0,142,0.47249418
329811,Male,37,1,41.0,0,1-2 Year,Yes,26192.0,155.0,235,0.47247833
282836,Female,29,1,35.0,0,1-2 Year,Yes,22176.0,154.0,59,0.47238222
321856,Male,30,1,35.0,0,1-2 Year,Yes,21555.0,156.0,56,0.47238222
40647,Female,33,1,3.0,0,1-2 Year,Yes,20190.0,154.0,135,0.47224188
363584,Male,33,1,41.0,0,1-2 Year,Yes,20979.0,154.0,159,0.47224188
133734,Male,29,1,46.0,0,1-2 Year,Yes,24186.0,163.0,183,0.47218418
169495,Male,32,1,11.0,0,< 1 Year,Yes,2630.0,124.0,260,0.4720739
9393,Male,34,1,8.0,0,1-2 Year,Yes,34445.0,163.0,163,0.4718075
53178,Male,33,1,41.0,0,< 1 Year,Yes,24809.0,12.0,286,0.47153628
148874,Female,34,1,6.0,0,1-2 Year,Yes,36329.0,157.0,79,0.4712646
164685,Female,34,1,11.0,0,1-2 Year,Yes,27791.0,124.0,105,0.47125196
292848,Female,33,1,35.0,0,< 1 Year,Yes,28082.0,157.0,92,0.4712466
140152,Male,35,1,3.0,0,1-2 Year,Yes,19897.0,26.0,281,0.47066554
336907,Female,30,1,28.0,0,< 1 Year,Yes,27481.0,26.0,149,0.4706418
375702,Female,29,1,28.0,0,< 1 Year,Yes,28211.0,26.0,217,0.4706418
357268,Male,34,1,10.0,0,1-2 Year,Yes,29209.0,124.0,287,0.4704947
222183,Female,35,1,11.0,0,1-2 Year,Yes,38292.0,124.0,85,0.47043633
132584,Male,31,1,28.0,0,1-2 Year,Yes,27300.0,121.0,119,0.47033948
12083,Male,29,1,11.0,0,1-2 Year,Yes,32031.0,124.0,99,0.47011057
265058,Male,31,1,41.0,0,< 1 Year,Yes,2630.0,163.0,242,0.46987337
339703,Female,38,1,41.0,0,1-2 Year,Yes,19782.0,155.0,154,0.46984127
303581,Male,33,1,28.0,0,< 1 Year,Yes,26221.0,26.0,58,0.469516
159478,Female,30,1,18.0,0,< 1 Year,Yes,36067.0,163.0,200,0.46922147
247484,Female,30,1,28.0,0,< 1 Year,Yes,25319.0,124.0,30,0.469158
315937,Male,29,1,23.0,0,< 1 Year,Yes,25334.0,124.0,33,0.469158
48578,Female,29,1,45.0,0,< 1 Year,Yes,18899.0,124.0,116,0.4690698
251943,Female,35,1,45.0,0,1-2 Year,Yes,17958.0,124.0,137,0.4689115
7595,Male,32,1,41.0,0,1-2 Year,Yes,36131.0,26.0,121,0.46890646
152477,Female,30,1,41.0,0,1-2 Year,Yes,24750.0,155.0,176,0.46860427
12562,Male,36,1,6.0,0,1-2 Year,Yes,24975.0,26.0,232,0.46850336
197417,Male,35,1,46.0,0,1-2 Year,Yes,27439.0,163.0,44,0.4684958
2367,Male,28,1,29.0,0,< 1 Year,Yes,30404.0,154.0,145,0.46825665
265670,Female,32,1,13.0,0,1-2 Year,Yes,17326.0,163.0,65,0.46813428
106535,Female,29,1,13.0,0,1-2 Year,Yes,23009.0,163.0,42,0.46803832
3735,Male,33,1,28.0,0,1-2 Year,Yes,27966.0,163.0,48,0.46797442
82116,Male,34,1,28.0,0,1-2 Year,Yes,19608.0,124.0,215,0.46785393
56472,Female,34,1,23.0,0,< 1 Year,Yes,24345.0,124.0,223,0.46785393
152262,Male,33,1,11.0,0,1-2 Year,Yes,26527.0,157.0,105,0.46778956
164122,Male,35,1,18.0,0,1-2 Year,Yes,19847.0,163.0,106,0.46769702
324537,Male,32,1,40.0,0,1-2 Year,Yes,26460.0,124.0,124,0.46756187
94991,Female,32,1,3.0,0,1-2 Year,Yes,24023.0,156.0,92,0.46741483
163877,Male,34,1,45.0,0,1-2 Year,Yes,21556.0,26.0,291,0.46735337
206798,Male,28,1,3.0,0,< 1 Year,Yes,18670.0,124.0,17,0.4673082
185555,Female,33,1,23.0,0,1-2 Year,Yes,30254.0,26.0,50,0.46722728
193193,Female,30,1,3.0,0,1-2 Year,Yes,21352.0,156.0,107,0.4670047
138945,Female,36,1,38.0,0,1-2 Year,Yes,27656.0,163.0,216,0.46659505
242123,Male,31,1,28.0,0,1-2 Year,Yes,26304.0,26.0,158,0.46654952
308978,Female,33,1,28.0,0,< 1 Year,Yes,28018.0,26.0,160,0.46654952
102523,Female,31,1,28.0,0,1-2 Year,Yes,28309.0,26.0,269,0.46654952
129154,Male,31,1,28.0,0,1-2 Year,Yes,24981.0,26.0,188,0.46654952
311030,Female,33,1,28.0,0,< 1 Year,Yes,25769.0,26.0,172,0.46654952
288185,Male,33,1,28.0,0,1-2 Year,Yes,26643.0,26.0,239,0.46654952
285875,Male,33,1,38.0,0,1-2 Year,Yes,30746.0,26.0,227,0.46654952
12600,Male,32,1,18.0,0,< 1 Year,Yes,29558.0,124.0,106,0.4662093
347295,Female,34,1,18.0,0,1-2 Year,Yes,27925.0,155.0,92,0.4662032
167321,Female,29,1,28.0,0,< 1 Year,Yes,27206.0,124.0,45,0.46615928
25144,Male,34,1,38.0,0,1-2 Year,Yes,21203.0,26.0,101,0.46604642
3931,Male,30,1,28.0,0,1-2 Year,Yes,24915.0,155.0,198,0.4658971
303690,Male,31,1,18.0,0,1-2 Year,Yes,30212.0,124.0,158,0.4658314
200064,Male,33,1,18.0,0,< 1 Year,Yes,27827.0,124.0,142,0.4658314
74110,Female,35,1,3.0,0,1-2 Year,Yes,20689.0,124.0,262,0.4656278
209150,Female,35,1,3.0,0,1-2 Year,Yes,23789.0,124.0,243,0.4656278
62065,Male,35,1,11.0,0,1-2 Year,Yes,40095.0,26.0,291,0.46532804
92191,Male,35,1,29.0,0,1-2 Year,Yes,28467.0,124.0,31,0.46528053
105808,Male,36,1,28.0,0,1-2 Year,Yes,2630.0,57.0,273,0.46519405
77866,Female,38,1,28.0,0,1-2 Year,Yes,24501.0,155.0,291,0.46519002
48776,Female,34,1,28.0,0,1-2 Year,Yes,27402.0,26.0,15,0.46510923
156747,Male,34,1,7.0,0,1-2 Year,Yes,27624.0,26.0,36,0.46510923
197868,Female,31,1,3.0,0,1-2 Year,Yes,23051.0,156.0,148,0.46474963
380943,Female,32,1,28.0,0,< 1 Year,Yes,28909.0,124.0,38,0.4644943
184186,Male,31,1,38.0,0,< 1 Year,Yes,27392.0,124.0,38,0.4644943
342370,Female,31,1,4.0,0,< 1 Year,Yes,23963.0,154.0,125,0.46447012
33982,Male,35,1,29.0,0,1-2 Year,Yes,29540.0,26.0,72,0.46436003
149362,Male,29,1,3.0,0,1-2 Year,Yes,26069.0,154.0,141,0.46425402
275912,Male,35,1,29.0,0,1-2 Year,Yes,30317.0,124.0,221,0.46417344
62452,Male,33,1,30.0,0,1-2 Year,Yes,19981.0,157.0,249,0.4641633
257785,Female,64,1,17.0,0,1-2 Year,Yes,33023.0,163.0,60,0.46409583
344092,Male,44,1,35.0,0,1-2 Year,Yes,33526.0,163.0,283,0.46406424
173697,Male,34,1,28.0,0,1-2 Year,Yes,27014.0,26.0,225,0.46400216
100839,Male,34,1,28.0,0,1-2 Year,Yes,28090.0,26.0,260,0.46400216
342105,Male,34,1,28.0,0,1-2 Year,Yes,25386.0,26.0,216,0.46400216
222773,Female,34,1,28.0,0,1-2 Year,Yes,30035.0,26.0,121,0.46400216
296779,Male,34,1,28.0,0,1-2 Year,Yes,28628.0,26.0,181,0.46400216
272420,Male,34,1,4.0,0,1-2 Year,Yes,29974.0,26.0,272,0.46400216
359935,Male,49,1,41.0,0,1-2 Year,Yes,17702.0,163.0,275,0.46393627
231044,Male,30,1,41.0,0,< 1 Year,Yes,31945.0,26.0,61,0.46390134
213769,Female,34,1,28.0,0,1-2 Year,Yes,26159.0,124.0,10,0.4638461
